,incident,count,incident_name
38,coup: Frozen Election,257,coup:_Frozen_Election
39,coup: Leftist Major Cities Coup,757,coup:_Leftist_Major_Cities_Coup
40,coup: NV Early Call Coup,4196,coup:_NV_Early_Call_Coup
41,coup: SECDEF Threat,8014,coup:_SECDEF_Threat
42,coup: sunrise movement,1422,coup:_sunrise_movement
43,dead voters: 1900-01-01 birthday,101300,dead_voters:_1900-01-01_birthday
44,dead voters: 350K on voter rolls,61676,dead_voters:_350K_on_voter_rolls
45,dead voters: FL dead wife,264,dead_voters:_FL_dead_wife
46,dead voters: FL registration attempt,30446,dead_voters:_FL_registration_attempt
47,dead voters: general ticket,2801573,dead_voters:_general_ticket
48,dead voters: huckabee votes for dead relatives,105671,dead_voters:_huckabee_votes_for_dead_relatives
49,dead voters: Jason D. Dawdy,4,dead_voters:_Jason_D._Dawdy
50,dead voters: list of 100+,4441,dead_voters:_list_of_100+
51,dead voters: NY post ballots,13121,dead_voters:_NY_post_ballots
52,dead voters: oregon friend,2352,dead_voters:_oregon_friend
53,dead voters: registering thousands of dead voters,3,dead_voters:_registering_thousands_of_dead_voters
54,dead voters: southfront article,2,dead_voters:_southfront_article
55,dead voters: team trump,13771,dead_voters:_team_trump
56,dead voters: TX registrations,292,dead_voters:_TX_registrations
57,dead voters: voters in their 170s,27211,dead_voters:_voters_in_their_170s
58,dead voters: William Bradeley,133919,dead_voters:_William_Bradeley
59,Digital dumps: AARP Aggregate,362,Digital_dumps:_AARP_Aggregate
60,"Digital dumps: Fairfax 100,000 ballots",331,"Digital_dumps:_Fairfax_100,000_ballots"
61,Digital dumps: Germany Ambassador,63544,Digital_dumps:_Germany_Ambassador
62,Digital dumps: Jim Holt WI Dumps,2441,Digital_dumps:_Jim_Holt_WI_Dumps
63,Digital dumps: Jo Jorgensen PA,628,Digital_dumps:_Jo_Jorgensen_PA
64,"Digital dumps: Michigan 128,000 votes",244421,"Digital_dumps:_Michigan_128,000_votes"
65,False Victory: AZ early FB Call,3,False_Victory:_AZ_early_FB_Call
66,False Victory: Early FL Call,2140,False_Victory:_Early_FL_Call
67,False Victory: Eric Trump Calls PA,1800,False_Victory:_Eric_Trump_Calls_PA
68,False Victory: Facebook Labeling of PA Call,23,False_Victory:_Facebook_Labeling_of_PA_Call
69,False Victory: GA called for Trump,9277,False_Victory:_GA_called_for_Trump
70,False Victory: MO early call,10,False_Victory:_MO_early_call
71,False Victory: Murphy Call for Booker,121,False_Victory:_Murphy_Call_for_Booker
72,False Victory: NC Early Call,2531,False_Victory:_NC_Early_Call
73,False Victory: OAN Trump Won,155,False_Victory:_OAN_Trump_Won
74,False Victory: PA Attorney General Calls Election,120685,False_Victory:_PA_Attorney_General_Calls_Election
75,False Victory: PA early calls,1847,False_Victory:_PA_early_calls
76,False Victory: President Elect Status Revoked,63739,False_Victory:_President_Elect_Status_Revoked
77,False Victory: RealClearPolitics Rescinds Call of PA,40547,False_Victory:_RealClearPolitics_Rescinds_Call_of_PA
78,False Victory: Tillis Early Call,138,False_Victory:_Tillis_Early_Call
79,False Victory: Varitimos Declaration for Trump Win,8,False_Victory:_Varitimos_Declaration_for_Trump_Win
80,False Victory: WI SOS Website Results,26841,False_Victory:_WI_SOS_Website_Results
81,Georgia scam,36116,Georgia_scam
82,Ineligible Voters: CT Registered Voters,20,Ineligible_Voters:_CT_Registered_Voters
83,Ineligible Voters: Illegal Immigrant Registrations,1949,Ineligible_Voters:_Illegal_Immigrant_Registrations
84,ineligible voters: nv residency violations,209773,ineligible_voters:_nv_residency_violations
85,Ineligible Voters: TX Illegal Voters,2877,Ineligible_Voters:_TX_Illegal_Voters
86,Ineligible Voters: Undocumented WA,638,Ineligible_Voters:_Undocumented_WA
87,Ineligible Voters: WA Ineligible Sister,5389,Ineligible_Voters:_WA_Ineligible_Sister
88,In Person Fraud: Blind Relatives,5389,In_Person_Fraud:_Blind_Relatives
89,In Person Fraud: CT ID Laws,17,In_Person_Fraud:_CT_ID_Laws
90,In Person Fraud: Mongomery Maryland,21905,In_Person_Fraud:_Mongomery_Maryland
91,In Person Fraud: OHare Airport,24762,In_Person_Fraud:_OHare_Airport
92,In Person Fraud: Seattle No Verification,262,In_Person_Fraud:_Seattle_No_Verification
93, intimdation: Trump Chanting,29759,_intimdation:_Trump_Chanting
94,intimidation: BLM/Antifa Intimidation Plans,10824,intimidation:_BLM_Antifa_Intimidation_Plans
95,intimidation: blue dots,28,intimidation:_blue_dots
96,intimidation: CA BLM protest,1865,intimidation:_CA_BLM_protest
97,intimidation: Devin Nunes Mobile Home Fire,22894,intimidation:_Devin_Nunes_Mobile_Home_Fire
98,intimidation: FL Antifa and Loomer,213,intimidation:_FL_Antifa_and_Loomer
99,intimidation: FL bomb threat,6,intimidation:_FL_bomb_threat
100,intimidation: FL sherrif,6384,intimidation:_FL_sherrif
101,intimidation: FL trump police officer,41649,intimidation:_FL_trump_police_officer
102,intimidation: MI poll watchers,73078,intimidation:_MI_poll_watchers
103,intimidation: NC BLM,43966,intimidation:_NC_BLM
104,intimidation: NY long island,2287,intimidation:_NY_long_island
105,intimidation: OH pro-life protesters,3,intimidation:_OH_pro-life_protesters
106,intimidation: OH Trump Supporters Block Polls,14,intimidation:_OH_Trump_Supporters_Block_Polls
107,intimidation: PA armed men confront vote counter,68068,intimidation:_PA_armed_men_confront_vote_counter
108,intimidation: PA State Constable,489,intimidation:_PA_State_Constable
109,intimidation: Proud Boys Email,59597,intimidation:_Proud_Boys_Email
110,intimidation: SC pink hair scream,123,intimidation:_SC_pink_hair_scream
111,intimidation: threat letter,4368,intimidation:_threat_letter
112,intimidation: trump calls for monitors,30707,intimidation:_trump_calls_for_monitors
113,intimidation: Warning of Violence Agians POC/LGBTQ,6846,intimidation:_Warning_of_Violence_Agians_POC_LGBTQ
114,intimidation: woman mobbed by trump supporters,2,intimidation:_woman_mobbed_by_trump_supporters
115,Judicial Watch alleges stolen election,298,Judicial_Watch_alleges_stolen_election
116,Late: Allegheny Not Stamping,19,Late:_Allegheny_Not_Stamping
117,Late: Extended Ballots,92887,Late:_Extended_Ballots
118,Late: NC Stolen,4611,Late:_NC_Stolen
119,Late: OK Ballots Found,16236,Late:_OK_Ballots_Found
120,Late: PA Late Ballots,234,Late:_PA_Late_Ballots
121,Late: USPS Driver,35,Late:_USPS_Driver
122,lost: AZ rock ballots,30440,lost:_AZ_rock_ballots
123,lost: Biden truck ballots,497,lost:_Biden_truck_ballots
124,lost: CA dumpster,68778,lost:_CA_dumpster
125,lost: CA stolen ballots,5948,lost:_CA_stolen_ballots
126,lost: CT dumped,1,lost:_CT_dumped
127,lost: CT under bridge,207,lost:_CT_under_bridge
128,lost: desert ballots,390,lost:_desert_ballots
129,lost: FL shredded ballots,14,lost:_FL_shredded_ballots
130,lost: GA found in dumpster,156992,lost:_GA_found_in_dumpster
131,lost: Harris County,5,lost:_Harris_County
132,lost: KY dumped ballots,385,lost:_KY_dumped_ballots
133,"lost: LA,TX dumpster ballots",426,"lost:_LA,TX_dumpster_ballots"
134,lost: MA primary ballots,22961,lost:_MA_primary_ballots
135,lost: multistate dumped ballots,500,lost:_multistate_dumped_ballots
136,lost: multistate thrown ballots,46367,lost:_multistate_thrown_ballots
137,lost: NJ dumpster,72540,lost:_NJ_dumpster
138,lost: NJ Mail Photo,3552,lost:_NJ_Mail_Photo
139,lost: NV trash ballots,17193,lost:_NV_trash_ballots
140,lost: OH 2014,1121,lost:_OH_2014
141,lost: OH river ballot boxes,9,lost:_OH_river_ballot_boxes
142,lost: OH thrown ballots,1,lost:_OH_thrown_ballots
143,lost: PA 300-500k,5760,lost:_PA_300-500k
144,lost: PA 9 discarded,261209,lost:_PA_9_discarded
145,"lost: PA,GA dumpster ballots",44037,"lost:_PA,GA_dumpster_ballots"
146,lost: PA shredded ballot applications,105105,lost:_PA_shredded_ballot_applications
147,lost: VA 60k undelivered ballots,1920,lost:_VA_60k_undelivered_ballots
148,lost: VA burned ballots,105667,lost:_VA_burned_ballots
149,lost: WA harvestable ballots,83,lost:_WA_harvestable_ballots
150,lost: WA stolen ballots,2,lost:_WA_stolen_ballots
151,lost: WA thrown ballots,5,lost:_WA_thrown_ballots
152,lost: WI ditch ballots,22550,lost:_WI_ditch_ballots
153,Machines: Changed Vote TX,28334,Machines:_Changed_Vote_TX
154,Machines: ES&S Touchscreens,161,Machines:_ES&S_Touchscreens
155,Machines: Franklin/Spalding County Hack,2220,Machines:_Franklin_Spalding_County_Hack
156,Machines: generic with dem steal,3,Machines:_generic_with_dem_steal
157,Machines: Ivanka patent,6678,Machines:_Ivanka_patent
158,Machines: Louisiana Changed Votes,197,Machines:_Louisiana_Changed_Votes
159,Machines: MI Power Outages,13792,Machines:_MI_Power_Outages
160,Machines: No Ink Green Bay,17772,Machines:_No_Ink_Green_Bay
161,Machines: NYC Broken,21163,Machines:_NYC_Broken
162,Machines: OH Breakdowns,91,Machines:_OH_Breakdowns
163,Machines: Old Machines,53,Machines:_Old_Machines
164,Machines: Pre-Programmed 2016,35,Machines:_Pre-Programmed_2016
165,Machines: Scranton Disruptions,64301,Machines:_Scranton_Disruptions
166,Machines: Westmoreland machines down,58096,Machines:_Westmoreland_machines_down
167,: maidengate,184315,:_maidengate
168,MI and PA dead voting list,130864,MI_and_PA_dead_voting_list
169,Other: Allegheny County Family Votes for each other,9183,Other:_Allegheny_County_Family_Votes_for_each_other
170,Other: AZ Fraud Claims,477561,Other:_AZ_Fraud_Claims
171,Other: Ballot Fraud Ballots in Bins,1,Other:_Ballot_Fraud_Ballots_in_Bins
172,Other: Ballot Fraud Poll Watcher Votes,3771,Other:_Ballot_Fraud_Poll_Watcher_Votes
173,Other: Candidate Fraud Biden App,18,Other:_Candidate_Fraud_Biden_App
174,Other: Candidate Fraud Biden Fraud Quote,207592,Other:_Candidate_Fraud_Biden_Fraud_Quote
175,Other: Candidate Fraud Hannity Misquote,36912,Other:_Candidate_Fraud_Hannity_Misquote
176,Other: Candidate Fraud Newsom Voting,57,Other:_Candidate_Fraud_Newsom_Voting
177,Other: DeKalb Rejected Ballots,286139,Other:_DeKalb_Rejected_Ballots
178,Other: Delaware County Election Results,3723,Other:_Delaware_County_Election_Results
179,Other: drive through voting illegal driver's licenses,32536,Other:_drive_through_voting_illegal_driver's_licenses
180,Other: Fort Russ Disinformation,128,Other:_Fort_Russ_Disinformation
181,Other: Fulton County Water Pipe,3397,Other:_Fulton_County_Water_Pipe
